Athlete,Day,0 - 50,50 - 55,55 - 60,60 - 65,65 - 70,70 - 75,>75,File_gps
GPS ela,G1,56.5411981080051,21.847497534597654,98.95979856875957,369.911729385598,170.3881222378098,29.323263051278563,94.46282960531857,../data/G1/213ae5cc-65f8-4930-a034-bf4dc2eae950-resampled.csv
GPS martin,G1,47.1613357745126,22.6258884590723,24.257231156069523,253.43158602590614,362.9017822318758,105.37149401091108,18.750660764488487,../data/G1/2669730a-67a2-48c7-818b-5cd2ecfec89d-resampled.csv
GPS meggye,G1,62.446715059609026,41.711552082856635,330.4857402208885,282.81068629194505,126.12078136856451,0.0,0.0,../data/G1/6a81168d-4940-48c5-8981-bd809fb6ebf5-resampled.csv
GPS cate,G1,56.2569882493219,20.146776479766284,34.32746570942415,288.2532589844392,303.78882689216204,83.45922799895635,51.05723789759039,../data/G1/7146465b-ba5c-4300-af0c-043e579c13bc-resampled.csv
GPS Ilaria,G1,61.496617765485,39.46172031267949,183.3558948779738,338.3846198768976,121.97862985709992,93.93694500827732,0.0,../data/G1/85e148df-0b3c-4994-82d2-ac033a3167e5-resampled.csv
GPS aydan,G1,51.775510554985615,41.491750355268294,120.8575070344396,304.22029265713775,242.86032575451065,76.79344709336348,0.0,../data/G1/92cfda15-66c1-4f84-8123-e0ed1135d1e2-resampled.csv
GPS giorgio,G1,58.00937213179755,17.549098955140057,156.18137007997078,367.4237006684248,155.26640516049716,84.36333939613675,0.0,../data/G1/9f86ac8b-d9b5-4623-aada-b4557ec160fe-resampled.csv
GPS Ilaria_2,G1,63.36782285614697,30.16824437790238,209.69536178342116,385.053832250605,119.76398935183987,29.93040080369372,0.0,../data/G1/a8b20cfa-e7dd-41f6-a184-31351cb9d875-resampled.csv
GPS martin_2,G1,50.915457823439475,21.413862247884047,28.53120662592424,171.12832022605033,359.95235325487727,25.200661001768186,0.0,../data/G1/c50fd215-01c8-4948-9c4e-9133696d494f-resampled.csv
GPS ela2,G1,57.336171865071,19.982630705695968,91.4227269884626,381.5952913705251,166.86900327170582,90.08287645589438,30.430825850047867,../data/G1/e00a402d-96a5-4522-b4cd-9b12b0cc2cce-resampled.csv
GPS bea,G1,57.17617487500788,20.87259866799904,59.93008214746346,350.32735742425183,205.27220469091225,124.83775775987006,18.47483358392252,../data/G1/e8f686d3-cc65-4bbb-9e54-07e501f4d799-resampled.csv
GPS Zavattarelli ,P1,97.36277958937193,58.44926277459156,158.24018567313905,173.4884826393041,179.33008932582885,75.37201809905095,34.93001491374353,../data/P1/1a50d4b0-e1db-498d-99f1-9b09b2ea2c66-resampled.csv
GPS Vala Manka,P1,153.061060801941,91.44104443310339,166.09720382436709,158.63546299735162,162.80201385255705,43.21054882786583,0.0,../data/P1/7b9b3882-d9c8-4d74-b6f3-92d15fd5d031-resampled.csv
GPS Cate,P1,98.4462091871611,91.28103347174893,139.7517047808831,186.55488432359468,133.47523005019164,63.93184434189973,64.02190578378101,../data/P1/7c85e503-8287-4e2c-b69f-ac9e8a9b2cb8-resampled.csv
GPS Gal,P1,103.26895870388216,58.008823903987455,81.16817769936529,212.5209128016681,167.3732042996451,132.96312112425917,18.74321631319204,../data/P1/8f53a4f1-b0fe-47d0-8dbb-1ecc29b8d384-resampled.csv
GPS Bea,P1,97.56969305753793,40.03168551769201,196.74013653679444,202.7622127865308,116.76964989315611,110.17861304977697,10.253628564376326,../data/P1/a428c925-034d-4119-974d-3626dad5eafe-resampled.csv
GPS Jelenček,P1,117.23544329368077,270.77288453299514,256.59876603965824,78.7523407325605,56.28929573950597,0.0,0.0,../data/P1/ae2ecfac-610f-473d-81b4-927d3654bca9-resampled.csv
GPS Cate_2,P1,92.00704124345198,48.195712713862264,100.57528996299564,199.7524437121945,191.4542951471916,73.87248218290115,72.45247710414007,../data/P1/d3b79fa1-459e-4b36-b4d9-c28ab53de2f9-resampled.csv
GPS Bea_2,P1,124.76468755820046,53.95779200054466,193.26643778366451,225.41629854967664,94.59288899100838,78.82299326829522,7.751109543402723,../data/P1/d8e68817-55d8-4407-a726-dc5149d2ab6b-resampled.csv
GPS Nik,P1,164.52651287203554,98.94884062182801,153.62576193193811,163.1338599345306,109.77562340098005,87.35224249954962,0.0,../data/P1/e8aa40a3-9f54-4d8b-bc6c-ab0369ce9903-resampled.csv
GPS Manca,P2,168.85609789241616,120.06019790722755,254.1084223891108,161.6235212487076,69.16721197088786,0.0,0.0,../data/P2/02d7d896-e139-4bec-b8e1-325d995784ac-resampled.csv
GPS Zavattarelli _2,P2,98.04294986092677,92.40104804216455,99.12300826978249,210.47794898595012,186.7905791777883,72.62118900329416,13.531467514842626,../data/P2/08c2eb3d-6378-4723-b279-ba1dd9707539-resampled.csv
GPS gal,P2,93.36297978145333,90.57362543768645,120.08942065611035,198.61732194605204,170.2696267139354,100.15724641880027,0.0,../data/P2/0c65d602-1d78-4928-8479-ecf7f379c96b-resampled.csv
GPS Cate_3,P2,85.24526769765855,52.85585786126848,88.89227043971628,202.19022040652254,197.472882745996,79.11638671919552,68.38265395222618,../data/P2/826e4d89-1893-4340-9a5b-e1aaee3d9d5d-resampled.csv
GPS Francesco,P2,88.10947463041103,18.464008303263615,139.85396231463181,241.39427301139568,166.80776657641027,72.48416021548391,48.643305878309825,../data/P2/aec20d08-f114-4f63-87e1-23a6181456ef-resampled.csv
GPS chiara,P2,91.932714470844,35.79343676224326,206.6170744875831,225.0484686181536,98.59408574490193,78.18564143137966,39.13042547435122,../data/P2/bf87b2f3-9e81-438a-90cf-7046750c2ebd-resampled.csv
GPS bea_2,P2,89.12544012435171,50.54561118687762,236.37591930014685,191.08370296576442,126.02236137693727,84.35646495712079,0.0,../data/P2/dacec0b0-7f24-4e92-bba3-e5b6e8649b90-resampled.csv
GPS Sofia,P2,99.63518469498887,125.05799103666847,165.94178640803176,235.34075786166227,108.72346674851417,40.321962261792635,0.0,../data/P2/fed06dd6-c72c-477f-8778-23ca991ce4ea-resampled.csv
